file,tests,stratified,splits,k,weight,metric,acc,pr,rec,f1,acc_std,pr_std,rec_std,f1_std
pima-diabetes.csv,crossvalidation,not,2,3,uniform,euclidean,0.6809895833333333,0.6419125334125334,0.6311270748856859,0.6341852474976737,0.0,0.0,0.0,0.0
pima-diabetes.csv,crossvalidation,not,3,3,uniform,euclidean,0.6705729166666666,0.6393197741256702,0.6334380260653935,0.6297859965127782,0.0,0.0,0.0,0.0
pima-diabetes.csv,crossvalidation,not,5,3,uniform,euclidean,0.6483320600967659,0.6093163247969933,0.6053232917364573,0.6051671655109117,0.0,0.0,0.0,0.0
pima-diabetes.csv,crossvalidation,not,10,3,uniform,euclidean,0.6497265892002735,0.6089755057360748,0.6059123533580218,0.6015608909931123,0.0,0.0,0.0,0.0
pima-diabetes.csv,crossvalidation,strat,2,3,uniform,euclidean,0.6692708333333333,0.630641591785694,0.6230746268656717,0.6256459283487985,0.0,0.0,0.0,0.0
pima-diabetes.csv,crossvalidation,strat,3,3,uniform,euclidean,0.6600612784835075,0.6211576857580706,0.6167951703950372,0.6183405685409219,0.0,0.0,0.0,0.0
pima-diabetes.csv,crossvalidation,strat,5,3,uniform,euclidean,0.6679738562091504,0.6286047940549375,0.6184633123689728,0.621184477027611,0.0,0.0,0.0,0.0
pima-diabetes.csv,crossvalidation,strat,10,3,uniform,euclidean,0.6419685577580314,0.6013357963314823,0.5964358974358974,0.5952354480463762,0.0,0.0,0.0,0.0
pima-diabetes.csv,metric,strat,10,1,uniform,manhattan,0.5988892686261108,0.5599413928519642,0.5602393162393163,0.5587872030947197,0.0,0.0,0.0,0.0
pima-diabetes.csv,metric,strat,10,2,uniform,manhattan,0.6368762816131237,0.5578567977015089,0.5333703703703703,0.5093282002483362,0.0,0.0,0.0,0.0
pima-diabetes.csv,metric,strat,10,3,uniform,manhattan,0.6419514695830484,0.6012510677186238,0.5913931623931623,0.5901184862293467,0.0,0.0,0.0,0.0
pima-diabetes.csv,metric,strat,10,4,uniform,manhattan,0.661414900888585,0.6105621324856401,0.5693361823361823,0.5609616581482545,0.0,0.0,0.0,0.0
pima-diabetes.csv,metric,strat,10,5,uniform,manhattan,0.6744873547505127,0.6354231639546393,0.6175299145299145,0.620712660560756,0.0,0.0,0.0,0.0
pima-diabetes.csv,metric,strat,10,7,uniform,manhattan,0.6965823650034176,0.6662529263645695,0.637014245014245,0.6412625210479328,0.0,0.0,0.0,0.0
pima-diabetes.csv,metric,strat,10,10,uniform,manhattan,0.6992139439507861,0.6703769186777835,0.6234672364672366,0.6251946733545697,0.0,0.0,0.0,0.0
pima-diabetes.csv,metric,strat,10,15,uniform,manhattan,0.6953861927546139,0.6644919999174176,0.6274245014245013,0.6310602436416344,0.0,0.0,0.0,0.0
pima-diabetes.csv,metric,strat,10,20,uniform,manhattan,0.674419002050581,0.6329243040965029,0.58522792022792,0.5802236728635877,0.0,0.0,0.0,0.0
pima-diabetes.csv,metric,strat,10,1,uniform,euclidean,0.5924812030075188,0.5563275065880949,0.5572991452991454,0.5548541143743444,0.0,0.0,0.0,0.0
pima-diabetes.csv,metric,strat,10,2,uniform,euclidean,0.6314935064935064,0.5566818356693106,0.5290142450142451,0.5082853637029958,0.0,0.0,0.0,0.0
pima-diabetes.csv,metric,strat,10,3,uniform,euclidean,0.6367737525632263,0.5997412639064995,0.5911566951566951,0.5918360979626908,0.0,0.0,0.0,0.0
pima-diabetes.csv,metric,strat,10,4,uniform,euclidean,0.6783834586466165,0.6421812921066865,0.5909971509971511,0.5865195206830579,0.0,0.0,0.0,0.0
pima-diabetes.csv,metric,strat,10,5,uniform,euclidean,0.6821941216678058,0.6465284652818445,0.621045584045584,0.6247401848114853,0.0,0.0,0.0,0.0
pima-diabetes.csv,metric,strat,10,7,uniform,euclidean,0.7070403280929596,0.674022401867014,0.6555213675213676,0.6593583481124476,0.0,0.0,0.0,0.0
pima-diabetes.csv,metric,strat,10,10,uniform,euclidean,0.7018455228981545,0.6756537309624719,0.6228404558404558,0.6246663711208514,0.0,0.0,0.0,0.0
pima-diabetes.csv,metric,strat,10,15,uniform,euclidean,0.6758031442241969,0.6349069684634369,0.6115726495726497,0.6140511117347051,0.0,0.0,0.0,0.0
pima-diabetes.csv,metric,strat,10,20,uniform,euclidean,0.665311004784689,0.6132520359466082,0.5795071225071226,0.5726177656994947,0.0,0.0,0.0,0.0
pima-diabetes.csv,weight,strat,10,1,uniform,euclidean,0.5924299384825701,0.5536084233402347,0.552968660968661,0.5508053693404867,0.0,0.0,0.0,0.0
pima-diabetes.csv,weight,strat,10,2,uniform,euclidean,0.6366199589883801,0.5639135864096112,0.5345042735042735,0.51127304790249,0.0,0.0,0.0,0.0
pima-diabetes.csv,weight,strat,10,3,uniform,euclidean,0.64325017088175,0.6019855358699012,0.596014245014245,0.5964375103957177,0.0,0.0,0.0,0.0
pima-diabetes.csv,weight,strat,10,4,uniform,euclidean,0.6757177033492823,0.6262835592273588,0.5843105413105413,0.5736435690843672,0.0,0.0,0.0,0.0
pima-diabetes.csv,weight,strat,10,5,uniform,euclidean,0.698069036226931,0.6631810740700452,0.6453276353276354,0.6487468791992226,0.0,0.0,0.0,0.0
pima-diabetes.csv,weight,strat,10,7,uniform,euclidean,0.7110047846889953,0.687964844032149,0.6566039886039886,0.6619970688480455,0.0,0.0,0.0,0.0
pima-diabetes.csv,weight,strat,10,10,uniform,euclidean,0.6980177717019822,0.6708570970224904,0.62197150997151,0.625002047269104,0.0,0.0,0.0,0.0
