file,tests,stratified,splits,k,weight,metric,acc,pr,rec,f1,acc_std,pr_std,rec_std,f1_std
iris.csv,weight,not,2,3,uniform,euclidean,0.9533333333333334,0.954551621218288,0.9557202854616648,0.9541618512206749,0.0,0.0,0.0,0.0
iris.csv,weight,not,3,3,uniform,euclidean,0.9666666666666667,0.9683467929081964,0.9706465919701214,0.9676881196594458,0.0,0.0,0.0,0.0
iris.csv,weight,not,5,3,uniform,euclidean,0.9733333333333334,0.9733333333333333,0.9793650793650794,0.973996373996374,0.0,0.0,0.0,0.0
iris.csv,weight,not,10,3,uniform,euclidean,0.9733333333333334,0.9694444444444444,0.971904761904762,0.9692733192733194,0.0,0.0,0.0,0.0
iris.csv,weight,strat,2,3,uniform,euclidean,0.9733333333333334,0.9753086419753086,0.9733333333333333,0.9732905982905983,0.0,0.0,0.0,0.0
iris.csv,weight,strat,3,3,uniform,euclidean,0.9734477124183006,0.9742193173565723,0.9734477124183006,0.9734352652758725,0.0,0.0,0.0,0.0
iris.csv,weight,strat,5,3,uniform,euclidean,0.9733333333333334,0.9767676767676768,0.9733333333333334,0.973165236323131,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,3,uniform,euclidean,0.9800000000000001,0.9811111111111112,0.9800000000000001,0.97993265993266,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,1,uniform,manhattan,0.9666666666666668,0.9700000000000001,0.9666666666666668,0.9664646464646465,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,1,uniform,euclidean,0.9600000000000002,0.9682539682539681,0.96,0.9591750841750842,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,2,uniform,manhattan,0.9533333333333334,0.958888888888889,0.9533333333333334,0.952996632996633,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,2,uniform,euclidean,0.9466666666666667,0.9533333333333335,0.9466666666666667,0.9462626262626262,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,3,uniform,manhattan,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,3,uniform,euclidean,0.9733333333333334,0.9777777777777779,0.9733333333333334,0.973063973063973,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,4,uniform,manhattan,0.9733333333333334,0.9777777777777779,0.9733333333333333,0.973063973063973,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,4,uniform,euclidean,0.9733333333333334,0.9755555555555556,0.9733333333333333,0.9731986531986532,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,5,uniform,manhattan,0.96,0.9644444444444445,0.96,0.9597306397306398,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,5,uniform,euclidean,0.9733333333333334,0.9777777777777779,0.9733333333333333,0.973063973063973,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,7,uniform,manhattan,0.9733333333333334,0.9777777777777779,0.9733333333333333,0.973063973063973,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,7,uniform,euclidean,0.9800000000000001,0.984920634920635,0.9800000000000001,0.9793771043771043,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,10,uniform,manhattan,0.9666666666666668,0.9722222222222223,0.9666666666666666,0.9663299663299663,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,10,uniform,euclidean,0.9733333333333334,0.9793650793650794,0.9733333333333333,0.9726430976430975,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,15,uniform,manhattan,0.9733333333333334,0.9793650793650794,0.9733333333333334,0.9726430976430975,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,15,uniform,euclidean,0.9800000000000001,0.9833333333333334,0.9799999999999999,0.9797979797979798,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,20,uniform,manhattan,0.9666666666666666,0.9738095238095239,0.9666666666666666,0.9659090909090908,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,20,uniform,euclidean,0.9800000000000001,0.9833333333333334,0.9800000000000001,0.9797979797979798,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,1,uniform,euclidean,0.96,0.9666666666666668,0.96,0.9595959595959596,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,1,distance,euclidean,0.96,0.9644444444444445,0.96,0.9597306397306398,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,1,square,euclidean,0.96,0.9644444444444445,0.96,0.9597306397306398,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,2,uniform,euclidean,0.9533333333333334,0.958888888888889,0.9533333333333334,0.952996632996633,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,2,distance,euclidean,0.9666666666666668,0.9738095238095239,0.9666666666666666,0.9659090909090908,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,2,square,euclidean,0.96,0.9682539682539684,0.96,0.9591750841750841,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,3,uniform,euclidean,0.96,0.9654761904761905,0.96,0.9591750841750841,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,3,distance,euclidean,0.9733333333333334,0.9777777777777779,0.9733333333333333,0.973063973063973,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,3,square,euclidean,0.9666666666666666,0.9722222222222223,0.9666666666666666,0.9663299663299663,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,4,uniform,euclidean,0.9733333333333334,0.9793650793650794,0.9733333333333333,0.9726430976430975,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,4,distance,euclidean,0.9800000000000001,0.9833333333333334,0.9800000000000001,0.9797979797979798,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,4,square,euclidean,0.9800000000000001,0.984920634920635,0.9800000000000001,0.9793771043771043,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,5,uniform,euclidean,0.9666666666666666,0.9738095238095239,0.9666666666666666,0.9659090909090908,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,5,distance,euclidean,0.9866666666666667,0.9888888888888889,0.9866666666666667,0.9865319865319865,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,5,square,euclidean,0.9733333333333334,0.9777777777777779,0.9733333333333333,0.973063973063973,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,7,uniform,euclidean,0.9666666666666668,0.9700000000000001,0.9666666666666666,0.9664646464646465,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,7,distance,euclidean,0.9733333333333334,0.9777777777777779,0.9733333333333333,0.973063973063973,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,7,square,euclidean,0.9800000000000001,0.9811111111111112,0.9800000000000001,0.97993265993266,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,10,uniform,euclidean,0.9600000000000002,0.966031746031746,0.96,0.9593097643097643,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,10,distance,euclidean,0.9666666666666668,0.971031746031746,0.9666666666666666,0.965909090909091,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,10,square,euclidean,0.9733333333333334,0.9777777777777779,0.9733333333333333,0.973063973063973,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,15,uniform,euclidean,0.9733333333333334,0.9777777777777779,0.9733333333333334,0.973063973063973,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,15,distance,euclidean,0.9733333333333333,0.9755555555555556,0.9733333333333333,0.9731986531986532,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,15,square,euclidean,0.9800000000000001,0.9833333333333334,0.9799999999999999,0.9797979797979798,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,20,uniform,euclidean,0.9800000000000001,0.9833333333333334,0.9800000000000001,0.9797979797979798,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,20,distance,euclidean,0.9800000000000001,0.9833333333333334,0.9799999999999999,0.9797979797979798,0.0,0.0,0.0,0.0
iris.csv,weight,strat,10,20,square,euclidean,0.9733333333333334,0.9755555555555556,0.9733333333333334,0.9731986531986532,0.0,0.0,0.0,0.0
